,Assembly,Bash/Shell/PowerShell,C,C#,C++,Clojure,Dart,Elixir,Erlang,F#,Go,HTML/CSS,Java,JavaScript,Kotlin,Objective-C,Other(s):,PHP,Python,R,Ruby,Rust,SQL,Scala,Swift,TypeScript,VBA,WebAssembly
Assembly,-1,3574,4322,2268,3833,172,239,150,171,186,720,3866,3450,3751,490,522,858,2056,3632,586,634,565,3274,301,519,1055,601,301
Bash/Shell/PowerShell,3574,-1,9274,9889,9459,715,718,661,484,529,4307,21910,14157,22869,2154,1678,3490,8871,18062,2482,3790,1670,19989,1821,2052,7563,2039,601
C,4322,9274,-1,5998,12162,346,531,321,337,282,2044,11440,9961,11277,1369,1573,2151,5815,10904,1538,1634,1245,9726,728,1598,2895,1266,465
C#,2268,9889,5998,-1,7922,290,622,313,255,827,1805,19443,10176,20108,1492,1453,2200,6701,9202,1243,1579,790,18697,703,1614,8190,2671,464
C++,3833,9459,12162,7922,-1,323,592,302,319,358,2063,12496,10665,12510,1539,1622,2255,5997,11956,1602,1651,1274,10720,785,1625,3472,1491,513
Clojure,172,715,346,290,323,-1,118,157,116,107,310,748,675,875,203,110,222,228,673,149,288,203,651,212,134,304,86,105
Dart,239,718,531,622,592,118,-1,134,94,103,424,1195,1077,1297,545,243,148,584,878,159,226,196,927,139,370,639,106,115
Elixir,150,661,321,313,302,157,134,-1,368,100,387,846,447,1013,193,135,189,327,634,135,573,241,706,149,172,438,93,103
Erlang,171,484,337,255,319,116,94,368,-1,95,277,487,378,585,134,126,138,229,473,130,268,167,486,125,126,243,87,94
F#,186,529,282,827,358,107,103,100,95,-1,200,648,382,696,158,119,166,230,446,170,150,149,642,125,111,443,155,100
Go,720,4307,2044,1805,2063,310,424,387,277,200,-1,4598,3315,5379,893,494,614,1983,4531,556,1449,918,4148,641,647,2177,288,298
HTML/CSS,3866,21910,11440,19443,12496,748,1195,846,487,648,4598,-1,23258,49070,3091,2507,4488,20116,22532,2899,5362,1653,36055,1712,3338,15537,3464,818
Java,3450,14157,9961,10176,10665,675,1077,447,378,382,3315,23258,-1,25023,4830,2289,2851,10041,16248,2155,2967,1186,21634,2381,2925,7787,2049,486
JavaScript,3751,22869,11277,20108,12510,875,1297,1013,585,696,5379,49070,25023,-1,3565,2770,4668,20298,23767,2784,5956,1901,37154,2070,3676,17160,3323,888
Kotlin,490,2154,1369,1492,1539,203,545,193,134,158,893,3091,4830,3565,-1,750,388,1366,2498,301,649,433,2839,498,1179,1532,233,166
Objective-C,522,1678,1573,1453,1622,110,243,135,126,119,494,2507,2289,2770,750,-1,322,1380,1689,247,692,198,2035,203,2637,949,303,165
Other(s):,858,3490,2151,2200,2255,222,148,189,138,166,614,4488,2851,4668,388,322,-1,1772,3459,642,611,441,4128,334,326,1216,622,160
PHP,2056,8871,5815,6701,5997,228,584,327,229,230,1983,20116,10041,20298,1366,1380,1772,-1,9362,1163,2109,582,17166,612,1576,5148,1767,340
Python,3632,18062,10904,9202,11956,673,878,634,473,446,4531,22532,16248,23767,2498,1689,3459,9362,-1,3850,3727,1817,20337,2038,2322,6543,2160,557
R,586,2482,1538,1243,1602,149,159,135,130,170,556,2899,2155,2784,301,247,642,1163,3850,-1,576,251,3407,453,305,769,630,139
Ruby,634,3790,1634,1579,1651,288,226,573,268,150,1449,5362,2967,5956,649,692,611,2109,3727,576,-1,516,4521,525,849,1750,375,188
Rust,565,1670,1245,790,1274,203,196,241,167,149,918,1653,1186,1901,433,198,441,582,1817,251,516,-1,1326,314,291,900,125,351
SQL,3274,19989,9726,18697,10720,651,927,706,486,642,4148,36055,21634,37154,2839,2035,4128,17166,20337,3407,4521,1326,-1,2046,2546,11704,3722,624
Scala,301,1821,728,703,785,212,139,149,125,125,641,1712,2381,2070,498,203,334,612,2038,453,525,314,2046,-1,254,864,161,115
Swift,519,2052,1598,1614,1625,134,370,172,126,111,647,3338,2925,3676,1179,2637,326,1576,2322,305,849,291,2546,254,-1,1294,277,154
TypeScript,1055,7563,2895,8190,3472,304,639,438,243,443,2177,15537,7787,17160,1532,949,1216,5148,6543,769,1750,900,11704,864,1294,-1,921,537
VBA,601,2039,1266,2671,1491,86,106,93,87,155,288,3464,2049,3323,233,303,622,1767,2160,630,375,125,3722,161,277,921,-1,135
WebAssembly,301,601,465,464,513,105,115,103,94,100,298,818,486,888,166,165,160,340,557,139,188,351,624,115,154,537,135,-1
