,Man,Woman,Other
1,JavaScript,HTML/CSS,JavaScript
2,HTML/CSS,JavaScript,HTML/CSS
3,SQL,SQL,SQL
4,Python,Java,Python
5,Java,Python,Java
6,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Bash/Shell/PowerShell
7,C#,C#,C++
8,PHP,PHP,C#
9,C++,C++,C
10,TypeScript,TypeScript,PHP
11,C,C,TypeScript
12,Other(s):,Ruby,Other(s):
13,Go,R,nan
14,Ruby,Other(s):,Go
15,Kotlin,Assembly,Assembly
16,Swift,Swift,Ruby
17,Assembly,Go,Swift
18,VBA,VBA,R
19,R,Objective-C,Kotlin
20,Objective-C,Kotlin,VBA
21,Scala,Scala,Objective-C
22,Rust,nan,Rust
23,Dart,Rust,Scala
24,Elixir,Elixir,Clojure
25,Clojure,WebAssembly,WebAssembly
26,F#,Clojure,Dart
27,WebAssembly,Dart,Elixir
28,nan,F#,F#
29,Erlang,Erlang,Erlang
