,APL,Assembly,Bash/Shell,C,C#,C++,COBOL,Clojure,Crystal,Dart,Delphi,Elixir,Erlang,F#,Go,Groovy,HTML/CSS,Haskell,Java,JavaScript,Julia,Kotlin,LISP,Matlab,Node.js,Objective-C,PHP,Perl,PowerShell,Python,R,Ruby,Rust,SQL,Scala,Swift,TypeScript,VBA
APL,-1,135,173,175,137,160,69,73,64,71,83,66,65,61,74,59,234,81,169,265,64,77,83,88,135,65,120,65,95,211,83,77,81,216,63,78,144,79
Assembly,135,-1,2738,3712,1761,3291,172,122,104,415,321,140,150,134,749,194,2946,446,2634,3112,181,580,333,890,1846,333,1469,394,950,3351,529,426,855,2540,220,388,1256,496
Bash/Shell,173,2738,-1,7113,5650,7255,221,645,223,1255,455,576,363,329,3788,1391,13968,908,9280,15460,470,2147,668,1487,9436,831,5499,1331,4453,14577,1586,2282,2659,12661,992,1242,7463,1223
C,175,3712,7113,-1,5575,11818,246,262,161,1490,567,310,273,258,2335,592,10171,925,8776,10845,436,1865,619,2227,6160,976,4685,1018,2332,11960,1461,1223,2366,8447,545,1176,4178,1134
C#,137,1761,5650,5575,-1,7100,236,227,209,1563,766,300,197,639,1961,600,14833,546,8218,16624,213,2003,301,1187,8535,859,5415,562,5333,9697,958,1077,1475,14186,452,1207,8990,2066
C++,160,3291,7255,11818,7100,-1,232,246,153,1639,636,284,241,290,2372,613,11385,840,9538,12326,482,2049,525,2349,7057,1014,5125,907,2817,13543,1570,1156,2398,9317,562,1259,4952,1331
COBOL,69,172,221,246,236,232,-1,67,69,71,121,57,62,65,86,77,302,65,273,319,60,88,74,84,186,76,198,99,139,221,84,91,70,315,73,81,174,149
Clojure,73,122,645,262,227,246,67,-1,67,114,68,139,105,89,298,123,639,164,642,878,94,201,236,74,458,84,176,99,134,633,124,227,225,656,177,111,393,69
Crystal,64,104,223,161,209,153,69,67,-1,86,84,116,70,61,145,60,308,72,159,355,63,89,59,63,186,70,153,72,113,215,80,233,120,298,64,85,180,108
Dart,71,415,1255,1490,1563,1639,71,114,86,-1,147,182,106,102,905,214,3204,180,2540,3646,111,1312,102,338,2477,321,1576,120,572,2726,282,385,549,2507,154,658,2054,242
Delphi,83,321,455,567,766,636,121,68,84,147,-1,74,71,77,181,104,898,84,596,959,70,160,95,158,461,139,633,163,340,573,118,151,103,1155,89,129,452,334
Elixir,66,140,576,310,300,284,57,139,116,182,74,-1,405,102,452,80,813,174,362,1082,89,197,112,77,628,110,286,92,162,660,104,560,338,728,122,157,605,73
Erlang,65,150,363,273,197,241,62,105,70,106,71,405,-1,89,238,89,379,152,276,463,75,133,109,81,314,81,195,103,131,382,106,217,186,358,107,104,246,79
F#,61,134,329,258,639,290,65,89,61,102,77,102,89,-1,188,69,458,142,280,568,73,139,95,99,337,83,166,83,304,394,114,112,189,480,98,107,428,125
Go,74,749,3788,2335,1961,2372,86,298,145,905,181,452,238,188,-1,541,4320,414,3314,5595,183,1095,246,360,3773,337,1885,431,1081,4975,468,1143,1621,4148,484,551,3278,294
Groovy,59,194,1391,592,600,613,77,123,60,214,104,80,89,69,541,-1,1404,119,1922,1714,61,683,98,149,1079,149,511,182,520,1412,160,314,218,1523,259,208,976,179
HTML/CSS,234,2946,13968,10171,14833,11385,302,639,308,3204,898,813,379,458,4320,1404,-1,1038,17354,40818,427,3706,655,2330,21795,1358,14704,1288,6406,22361,2176,3590,2892,27005,937,2339,18681,2621
Haskell,81,446,908,925,546,840,65,164,72,180,84,174,152,142,414,119,1038,-1,919,1173,141,313,222,234,739,109,413,141,273,1258,257,256,560,834,216,157,655,121
Java,169,2634,9280,8776,8218,9538,273,642,159,2540,596,362,276,280,3314,1922,17354,919,-1,20378,324,5206,527,1945,11324,1247,7495,963,3457,15599,1681,1769,2105,16293,1419,1972,9356,1636
JavaScript,265,3112,15460,10845,16624,12326,319,878,355,3646,959,1082,463,568,5595,1714,40818,1173,20378,-1,473,4482,698,2327,26262,1605,15965,1400,6944,24974,2273,4393,3599,29709,1261,2789,22542,2687
Julia,64,181,470,436,213,482,60,94,63,111,70,89,75,73,183,61,427,141,324,473,-1,138,112,279,280,73,176,99,152,856,341,125,240,409,107,95,223,99
Kotlin,77,580,2147,1865,2003,2049,88,201,89,1312,160,197,133,139,1095,683,3706,313,5206,4482,138,-1,164,420,2969,592,1717,224,806,3413,374,587,791,3448,401,1215,2655,313
LISP,83,333,668,619,301,525,74,236,59,102,95,112,109,95,246,98,655,222,527,698,112,164,-1,189,420,110,296,168,182,756,191,211,281,568,132,116,345,141
Matlab,88,890,1487,2227,1187,2349,84,74,63,338,158,77,81,99,360,149,2330,234,1945,2327,279,420,189,-1,1401,231,1061,236,712,3171,837,282,355,2086,183,268,893,456
Node.js,135,1846,9436,6160,8535,7057,186,458,186,2477,461,628,314,337,3773,1079,21795,739,11324,26262,280,2969,420,1401,-1,1048,8743,774,4218,14126,1266,2322,2340,15713,766,1795,15629,1354
Objective-C,65,333,831,976,859,1014,76,84,70,321,139,110,81,83,337,149,1358,109,1247,1605,73,592,110,231,1048,-1,837,198,361,1068,194,377,201,1126,113,1445,864,242
PHP,120,1469,5499,4685,5415,5125,198,176,153,1576,633,286,195,166,1885,511,14704,413,7495,15965,176,1717,296,1061,8743,837,-1,895,2537,8540,940,1311,912,12884,372,1161,6265,1456
Perl,65,394,1331,1018,562,907,99,99,72,120,163,92,103,83,431,182,1288,141,963,1400,99,224,168,236,774,198,895,-1,481,1366,279,378,241,1298,146,180,522,296
PowerShell,95,950,4453,2332,5333,2817,139,134,113,572,340,162,131,304,1081,520,6406,273,3457,6944,152,806,182,712,4218,361,2537,481,-1,5041,670,598,710,6253,286,463,3884,1168
Python,211,3351,14577,11960,9697,13543,221,633,215,2726,573,660,382,394,4975,1412,22361,1258,15599,24974,856,3413,756,3171,14126,1068,8540,1366,5041,-1,3389,2543,3806,19651,1400,1896,10451,2071
R,83,529,1586,1461,958,1570,84,124,80,282,118,104,106,114,468,160,2176,257,1681,2273,341,374,191,837,1266,194,940,279,670,3389,-1,382,381,2597,290,273,885,468
Ruby,77,426,2282,1223,1077,1156,91,227,233,385,151,560,217,112,1143,314,3590,256,1769,4393,125,587,211,282,2322,377,1311,378,598,2543,382,-1,647,3084,288,537,1893,285
Rust,81,855,2659,2366,1475,2398,70,225,120,549,103,338,186,189,1621,218,2892,560,2105,3599,240,791,281,355,2340,201,912,241,710,3806,381,647,-1,2259,359,405,2381,183
SQL,216,2540,12661,8447,14186,9317,315,656,298,2507,1155,728,358,480,4148,1523,27005,834,16293,29709,409,3448,568,2086,15713,1126,12884,1298,6253,19651,2597,3084,2259,-1,1255,1794,13775,2872
Scala,63,220,992,545,452,562,73,177,64,154,89,122,107,98,484,259,937,216,1419,1261,107,401,132,183,766,113,372,146,286,1400,290,288,359,1255,-1,163,805,151
Swift,78,388,1242,1176,1207,1259,81,111,85,658,129,157,104,107,551,208,2339,157,1972,2789,95,1215,116,268,1795,1445,1161,180,463,1896,273,537,405,1794,163,-1,1571,251
TypeScript,144,1256,7463,4178,8990,4952,174,393,180,2054,452,605,246,428,3278,976,18681,655,9356,22542,223,2655,345,893,15629,864,6265,522,3884,10451,885,1893,2381,13775,805,1571,-1,1148
VBA,79,496,1223,1134,2066,1331,149,69,108,242,334,73,79,125,294,179,2621,121,1636,2687,99,313,141,456,1354,242,1456,296,1168,2071,468,285,183,2872,151,251,1148,-1
