DevType,Total,C#,C++,HTML/CSS,JavaScript,Python,Bash/Shell,SQL,Julia,Java,R,VBA,Rust,TypeScript,C,PHP,MATLAB,Scala,Go,Kotlin,Dart,Elixir,Erlang,Assembly,Perl,PowerShell,SAS,Haskell,OCaml,Swift,Clojure,LISP,Solidity,Groovy,Lua,Ruby,Fortran,APL,F#,Objective-C,nan,COBOL,Delphi,Crystal
Data scientist or machine learning specialist,3424,594,994,1381,1536,2975,1269,1970,258,864,927,232,343,638,743,462,407,217,366,232,169,76,58,214,139,441,127,119,51,145,88,102,90,109,144,168,102,59,58,90,14,48,105,43
"Developer, front-end",15915,4789,2669,12068,13853,5500,3993,8346,103,4580,430,771,1042,8888,2222,4668,452,255,1419,1364,1349,299,125,602,333,2033,134,258,82,849,187,140,315,386,541,926,108,116,173,441,73,127,723,87
"Engineer, data",3600,857,806,1572,1934,2601,1477,2428,140,1187,450,360,339,919,722,634,285,391,494,282,178,92,75,239,187,582,78,88,45,143,117,102,75,156,155,236,106,71,65,106,15,66,214,62
"Engineer, site reliability",1947,457,415,954,1253,1249,1162,1134,47,678,103,117,272,686,431,506,86,110,679,181,111,113,86,149,174,411,36,73,33,93,66,66,64,194,158,303,50,58,48,64,12,45,83,51
"Developer, full-stack",28701,10113,4836,20395,24265,11557,8402,17824,222,9483,889,1387,2200,14887,4015,8150,818,629,3181,2458,2123,807,283,1098,667,4241,164,489,132,1255,505,296,536,987,956,2298,178,153,361,654,109,179,994,157
"Developer, back-end",26595,8475,5132,13928,17557,11964,8640,15913,230,9863,818,1194,2524,9730,4271,6400,758,1010,3963,2533,1561,782,375,1130,771,3524,126,535,135,972,560,309,460,1194,976,1929,200,149,352,535,93,222,1029,173
"Developer, desktop or enterprise applications",9546,4740,3012,4941,5704,3817,2689,5708,97,3269,298,893,790,2961,2231,1936,408,206,848,805,614,126,90,659,303,1922,68,171,60,492,134,145,121,358,405,374,156,104,200,351,43,165,1401,108
"Developer, QA or test",3096,1107,722,1932,2262,1526,1241,1942,45,1232,137,245,291,1203,640,849,145,113,428,363,230,77,49,207,166,658,45,82,44,175,60,68,69,257,180,267,52,67,59,119,16,53,181,54
Student,5595,1692,2168,3600,3919,3688,1768,2839,161,2622,482,273,761,1942,1998,1438,538,161,657,707,660,99,62,688,106,750,74,321,89,292,77,122,162,122,359,259,92,86,89,111,78,57,82,49
"Developer, mobile",7634,2391,1685,4058,4888,2606,1669,3555,68,3280,212,363,462,2959,1440,2012,283,127,672,2250,1819,151,78,402,157,775,73,130,50,1833,104,88,178,321,261,486,70,95,94,960,33,87,504,71
